id,charity_name,logo,rating,financial_transparency,results_reporting,cents_to_cause,city,province,website,Tel,main_category,sub_category,new_overview,new_results_and_impact
1,Moisson Mauricie / Centre-du-Québec,https://www.charityintelligence.ca/media/charity_logos/Moisson_MauricieCentreQuebec_H.jpg,4,0,A,97%,Trois-Rivieres,QC,www.moisson-mcdq.org,819-371-7778,Social Services,Food Bank (Distributor),"Moisson Mauricie is a 4-star rated charity that is not financially transparent. The charity has a strong results reporting grade and High demonstrated impact. Moisson Mauricie’s overhead spending is outside of Ci’s reasonable range. The charity has $1.7m in reserve funds, which can cover one year of program costs. Founded in 1987, Moisson Mauricie / Centre-du-Québec (MME) is the only food bank serving the Mauricie and Centre-du-Quebec area. MME collects, recovers, and distributes food to partner organizations that assist economically and socially disadvantaged people in the area. Moisson Mauricie reports that nearly 31,500 people accessed food support services in Mauricie/Centre-du-Québec in F2022, a 16% increase compared with F2021. Moisson Mauricie also runs a social integration and employment program to help employees develop transferable skills. The charity reports that it helped 31,500 people a month or 378,000 people a year. The charity is part of Food Banks Canada and Food Banks of Quebec’s networks. The charity does not provide a total program spending, nor does it disclose how much it spends on each of its programs. Moisson Mauricie is a Charity Intelligence 2022 Top 10 Impact Charity. In F2022, MME collected 6.4 million lb of food from 73 suppliers and redistributed 6.3 million lb to 70 member organisations. The charity collected 44% of food locally, from stores, farmers and other local suppliers. It sourced 56% of food nationally, from Food Banks Canada, Food Banks of Québec and other national suppliers. Of the food collected, 36% was non-perishable, 22% was meat and meat-substitutes and 21% was fruit and vegetables. In addition, the charity reports that 21,021 snacks and 41,426 meals were prepared with food it provided. Moisson Mauricie’s urgent help program supported 794 households. The charity provided 51 boxes filled with basic supplies such as hygiene products and food, which helped 138 people. Moisson Mauricie collects food from supermarkets and redistributes it to its networks. This avoids food waste and increases the variety of food the charity provides. In F2022, the charity reports saving 143 thousand lb of food from 46 participating stores. 39% of this food was meat and meat alternatives. Moisson Mauricie’s social integration and employment program allows community members to gain work experience by assisting the charity with its services. Employees sort and distribute food and prepare orders for charities in Moisson Mauricie’s network. The goal is for employees to develop transferable skills that they can use elsewhere. In F2022, 389 people participated in the program, providing 28,982 hours of work. The charity provided 5,632 meals for these employees.","In F2022, Moisson Mauricie reports that for every $1 cash donation, it can distribute $21 worth of food. The charity reports distributing 6,258,831 lb of food and helping 378,000. On average, each person helped received 17 lb of food."
2,Acadia University,https://www.charityintelligence.ca/media/charity_logos/acadia_logo.jpg,4,2,B,82%,Wolfville,NS,www2.acadiau.ca,902 542-2201,Education,University,"Acadia University is a 4-star charity with an average results reporting grade. Like most Universities, it is financially transparent. Excluding donor-endowed funds, the charity does not have enough funding reserves to cover any program costs.  Founded in 1838, Acadia University (AU) is a public liberal arts university in Wolfville, Nova Scotia. Acadia’s mission is to inspire students to become critical thinkers, lifelong learners, engaged citizens, and responsible global leaders. Acadia’s two main programs are education and research. Huffington Post ranked Acadia’s campus as one of the top ten most beautiful in Canada.  Acadia University states it has 3,574 undergraduate students and 191 graduate students. Of all first-year students, Acadia reports that 11% are international. The University states that the average class is 32 students and that it has a faculty to student ratio of 1:14. Acadia offers over 200 programs across the following faculties: arts, pure and applied science, professional studies, and theology. Outside of class, the University also has over 70 student-run clubs and organizations. 80% of the programs offer co-op work placements. More than 60 percent of Acadia’s research is applied in nature and focused on various sectors of regional importance, including agriculture & agri-food, health, environment, cleantech and data analysis. The University’s strategic research plan outlines four theme areas of focus: community life, organizations and cultural diversity; natural and environmental resilience; human health and wellness; and innovative and enabling technologies.","The University states that the average earning per co-op work term is $10,000 per student. It also states that 97% of Acadia graduates who completed a co-op program are working or pursuing further education."
3,Against Malaria Foundation Canada,https://www.charityintelligence.ca/media/charity_logos/AMFC2018logo.png,4,0,A,100%,Toronto,ON,www.againstmalaria.com,+44 (0)20 7371 8735,International Aid,,"Against Malaria Foundation Canada is a 4-star charity. It has High demonstrated impact and an excellent results reporting grade of A, but is not financially transparent. The charity's financial statements do not disclose any administrative or fundraising costs. For every dollar donated to the charity, the charity reports that 100 cents are available to go to the cause, which is outside Ci's reasonable range. Founded in 2006, Against Malaria Foundation Canada (AMFC) raises money to buy mosquito nets that prevent the spread of malaria. Malaria kills 400,000 people and infects more than 200 million people each year. Around 90% of deaths occur in sub-Saharan Africa and 70% of deaths are children under five. AMFC highlights that it uses 100% of public donations to buy long-lasting insecticide-treating nets (LLINs). AMFC is a fundraising branch of Against Malaria Foundation (AMF), based in the United Kingdom. A Charity Intelligence 2022 Top Impact Charity Insecticidal nets undergo treatments with chemicals that kill mosquitos, making the nets 99% effective even with holes or tears. AMF's cost per net is C$2.50. Each net lasts up to four years, protecting an average of two people. Ci counted 14.5 million LLINs distributed by AMF to the Democratic Republic of Congo and Guinea in F2022. The charity reports 16.0 million LLINs are currently being distributed in Africa. Against Malaria Foundation aims to assess program effectiveness by visiting randomly selected households every six months after receiving nets. It collects data on how many households still have nets, how many nets are still hung up, and the condition of each net. AMF also assesses the impact of nets using monthly data on local malaria infection rates.","In September 2016, Against Malaria Foundation distributed 25,217 nets in the Upper West Region of Ghana. In May 2018, surveyors found that 85% of nets given to households were still hung and 7% of nets were present but not hung. Around 5% of nets were worn out and rendered unusable, and 3% of nets were not present."
4,Agincourt Community Services Association,https://www.charityintelligence.ca/media/charity_logos/ACSA2019logo.png,4,1,B-,88%,Toronto,ON,www.agincourtcommunityservices.com,,Social Services,,"Agincourt Community Services Association is a 4-star rated charity with financial transparency for the most recent fiscal year and below average accountability to donors as seen in the B- results reporting grade. For every dollar donated to this charity, 88 cents go to the cause. This is within Ci's reasonable range for overhead spending.  Founded in 1970, Agincourt Community Services Association (ACSA) works to improve the quality of life in Scarborough, Ontario by supporting youth, new immigrants, young mothers, and the underprivileged. The charity operates six main programs: Child and Family, Youth, Homeless Services, Food Security, Newcomer Services and Community Engagement. The charity does not provide a breakdown of its spending on its programs. ACSA's Child and Family program works with children and parents through early childhood education, workshops, and after-school programs. The programs aim to have children succeed in school and life by ensuring that they receive healthy parenting and social stimulation as well as helping to develop language and math skills. In F2021, this program reached 154 participants and supported 120 families through after school programming.  ACSA's Youth program consists of the Provincial Youth Outreach Workers (YOW) and R.A.C.K.S programs, that are designed to provide support to marginalized youth in underserved neighbourhoods. In F2021, YOW supported 200 youth whereas R.A.C.K.S. supported 145 youth. Four Back-to-School programs for youth were also launched and saw 500 participants. ACSA's Homeless Drop-In and Outreach Services program provides support for individuals 18 years and over who are experiencing homelessness. People accessing this program can receive basic necessities as well as assistance in finding stable housing. In F2021, this program served 102,317 meals to people experiencing homelessness and made 248 referrals to requested services. The Harm Reduction team also distributed 550 naloxone kits, 5,048 safer use kits and trained 200 people on overdose recognition. ACSA's Food Security program helps increase access to culturally relevant, affordable and healthy food. The program reduces barriers to food access and aims to create healthy communities. In F2021, the Food Centre served 2,500 meals/week. The charity also developed the Cooking Healthy Together program which saw 100 participants. This program allows community members to come together and explore healthy cooking. ACSA's Newcomer Services program delivers settlement support and services for new immigrants, refugees and newcomer LGBTQ+ members. Services include education, employment, legal, and covid-19 specific support. In F2021, the charity supported 2,449 newcomers, of which 40% were refugees. 190 newcomers benefited from employment and entrepreneurship programs. The legal centre supported 1,134 clients and connected 194 to free consultation. ACSA's Community Engagement program aims to increase resident engagement in the delivery of community initiatives while ensuring the needs of the community are met. This program also includes the Financial Empowerment and Problem Solving program, that provides tax filing services, one-on-one financial support and relevant workshops. In F2021, The Bay Mills Community Hub engaged 720 community members and the Chester Le Centre conducted door-to-door outreach at 200 homes. The Dorset Park Community Hub supported 80 women in the English Circle for Women Program and 80 seniors in the Technology Club.","In F2021, the Financial Empowerment and Problem Solving program returned $7.3m of tax credits and benefits into the hands of 1,730 community members."
5,Alberta Animal Rescue Crew Society,https://www.charityintelligence.ca/media/charity_logos/AARCSlogo.png,5,2,A,73%,Calgary,AB,www.aarcs.ca,403-250-7377,Animal Welfare,,"Founded in 2006 and based in Calgary, Alberta Animal Rescue Crew Society (AARCS) rescues homeless animals throughout the province. AARCS’s major program provides animal shelter. The charity’s shelter is a temporary, emergency, and quarantine shelter. Its Rescue & Transport team travelled 68,618 km in 2020 to rescue animals. These animals are brought to the shelter, which has an in-house veterinary hospital. Its hospital has two surgical suites, a dental suite, a full-body x-ray machine, a laboratory, and a pharmacy. AARCS does not provide a breakdown of its spending on its programs.        During F2020, AARCS’s shelter took in 1,499 dogs, 2,307 cats, and 47 other animals. AARCS received over 15,000 applications for dogs and cats compared to 7,158 applications in 2019. While in the shelter, animals are not available for adoption. Instead, the animals stay in the shelter for an average of 43 days before staying at one of AARCS’s foster homes while they wait for adoption. The charity had 467 new foster homes for dogs and 174 for cats. The charity reports most new foster homes adopt their foster animal.    The shelter’s hospital performed 2,603 spays and neuters, 288 dental surgeries and 491 other surgeries in F2020. The clinic also gave 10,295 vaccines and 11,207 exams for a total of 24,884 vet services. This is a slight decrease from 25,916 in F2019.      AARCS’s other programs include a pet food bank, a Trap-Neuter-Return program, humane education programs, and animal disaster response. Trap-Neuter-Return neutered or spayed 352 feral cats in F2020, a 72% increase over 99 in F2019. AARCS also provided food and pet supplies to over 240 families.        In 2021, AARCS completed building a new animal shelter in Edmonton. The shelter currently supports a cat adoption program.","AARCS reports 1,114 dogs, 1,706 cats, and 51 small animals were adopted in F2020. In F2020, the charity returned 173 dogs and 499 cats to their owners. Using the number of animals taken in that were not returned to their owner, Ci calculates AARCS’s adoption rate is 90%. The charity reports that 3.3% of dog adoptions and 5% of cat adoptions are not successful."
6,Alberta Wilderness Association,https://www.charityintelligence.ca/media/charity_logos/AWAlogo2019.jpg,5,2,A,73%,Calgary,AB,www.albertawilderness.ca,(403) 283-2025,Environment,,"Alberta Wilderness Association is a 5-star charity with an above-average results reporting score. Its overhead costs are within Ci’s reasonable range, and it has reserve funds to cover program costs for almost a year and nine months. Founded in 1965, Alberta Wilderness Association’s (AWA) mission is to preserve Alberta’s wilderness, water, and wildlife. It does this by seeking protection for regions that represent the province’s characteristic landscapes. AWA’s major program is wilderness conservation, which it achieves through public awareness and action.  AWA prioritizes six natural regions: the Boreal Forest, the Rocky Mountains, the Canadian Shield, the Grasslands, the Foothills, and the Parklands. AWA proposes areas for conservation for each of these regions. AWA’s goal is to have 34% of the Boreal Forest, 90% of the Rockies, 79% of the Canadian Shield, 16% of the Grasslands, 20% of the Foothills, and 4% of the Parklands protected in the future.  To protect wild spaces, the charity advocates to the government and other regulatory agencies including in the form of letters, petitions, forums, and legal action. In F2022, the Grassy Mountain Coal Project, which AWA opposed, was successfully rejected. For wildlife conservation, AWA seeks protection for habitats of at-risk species through its Protected Areas. Current species of interest include bison, caribou, native cold-water fish, grizzly bears, sage-grouse, and wolves. AWA also advocates for improved species-at-risk legislation in Alberta and enforcement of existing laws to protect at-risk species. To protect freshwater in Alberta, AWA advocates for a stronger provincial wetland policy. AWA currently prioritizes the McClelland Lake wetlands, Wood Buffalo National Park, and the Peace-Athabasca Delta, which face immediate threats. The charity is also fighting against a water pipeline proposal that would divert water from the Red Deer watershed. In F2022, 1,161 people attended Alberta Wilderness Association’s events. The charity’s Adventures for Wilderness program hosted 37 adventures. Additionally, AWA released four issues of its Wildlands Advocate magazine. Each issue was delivered to 2,200 individuals and accessed online by more people. The charity also launched a Leave No Trace campaign to remind people to minimise any negative impact on places they visit.","Through its activities, Alberta Wilderness Association advocates for the conservation and protection of Alberta’s natural regions. As of 2022, 4,550,447 hectares of land are provincially protected areas, up almost 3.5% from 2019. AWA states that protected ecosystems provide humans with food, clean water, protection from natural disasters, and recreation opportunities. As such, AWA believes protected areas provide direct and indirect benefits to physical and mental health. AWA also states that Alberta’s protected areas result in direct economic benefits. For example, AWA reports that visitor spending in National Parks amounted to $1.5 billion in 2009."
7,Alpha House Society,https://www.charityintelligence.ca/media/charity_logos/ALPHA2018logo.jpg,4,1,B,92%,Calgary,AB,www.alphahousecalgary.com,403 234-7388,Social Services,Homeless (Addiction Recovery),"Founded in 1981, Alpha House Society (formally Calgary Alpha House Society) provides a safe space for people struggling with addiction, as well as mental and physical health issues. In 2019, Alpha House expanded its operations to serve individuals in Lethbridge, Alberta in addition to Calgary. The charity operates four core programs: Shelter, Detox & Transition, Housing, and Outreach. A breakdown of spending on these programs is not provided. Through its Shelter Program, Alpha House offers 120 beds to people struggling with addiction. The charity reports that the average shelter utilization rate was 107% in 2020. In total, Alpha House’s Shelter Program had 75,192 entries and served 4,430 people in F2020. Alpha House’s Detox Program offers 42 beds to people going through withdrawal. The program offers medical support, opioid replacement, therapy referrals to long-term treatment, and access to housing support. For detox patients needing extended support, there are 12 beds in the transitional program. In F2021, the Detox Program served 896 people, although the charity states that covid-19 affected this number. Through its Housing Program, Alpha House supports recovering addicts in finding and maintaining long-term accommodation. The charity provides different levels of support depending on client needs. For those who can live independently, Alpha House helps coordinate leases with landlords. The charity offers 24-hour care in its five long-term housing buildings. One of the buildings is for veterans and the newest house is women-only. In April 2020, Alpha House added a Transitional Housing Program, which supports individuals currently experiencing homelessness and transitioning into long-term housing. In total, the charity reports that its Housing Program served 295 people in F2020. Alpha House’s Outreach Teams respond to street level issues through mobile response units. The Downtown Outreach Addiction Partnership Team (DOAP Team) deals with addiction and public intoxication. Alpha House reports that the DOAP Team served 3,685 individuals in 2020. The Encampment Team helps people experiencing homelessness find housing. Finally, the Needle Response Team cleans up needles and needle debris around the community. In F2021, the team collected 56,720 needles.","In F2021, Alpha House provided shelter to 3,818 homeless individuals suffering from addiction. Additionally, the Transitional Housing Program moved over 105 individuals to long-term, stable housing since March 2020."
8,Arthritis Research Canada,https://www.charityintelligence.ca/media/charity_logos/ARC-LOGO_new2016.jpg,4,2,A,79%,Vancouver,BC,www.arthritisresearch.ca,604-207-0400,Health,,"Arthritis Research Canada is a 4-star rated charity with best practice in financial transparency and above average accountability to donors as seen in the A results reporting grade. The charity can fund 3.3 years of annual program costs with current reserves. Founded in 2000, Arthritis Research Canada’s (ARC) mission is to “transform the lives of people living with arthritis through research and engagement.” Its vision is “a future where research-based services, tools and knowledge empower people living with arthritis to triumph over pain and disability.” The term arthritis is used to describe the more than 100 conditions that affect joints, the tissues which surround joints, and other connective tissues. The charity reports that arthritis affects over 6 million Canadians. ARC also notes that only 2% of research dollars spent in Canada are devoted to arthritis.  Arthritis Research Canada has facilities in British Columbia, Alberta and Quebec. Its multi-disciplinary research team of medical doctors, research scientists, and trainees studies the causes of arthritis and addresses issues that impact people living with arthritis, including arthritis prevention, diagnosis, prognosis and quality of life. Arthritis Research Canada partners with universities, hospitals, funding agencies, arthritis treatment centres, The Arthritis Society and provincial governments to conduct its research. In F2021, ARC funded over 100 research studies in collaboration with 4 research centres and 5 major universities. This includes projects on programs that allow arthritis patients to remain employed, programs that prevent osteoarthritis after sports, preventing complications in arthritis patients and determining the safety of covid-19 vaccines in arthritis patients.","In F2021, ARC-funded projects resulted in 304 research publications and 154 abstracts in scientific journals."
9,Atlantic Salmon Federation,https://www.charityintelligence.ca/media/charity_logos/ASFlogo.jpg,4,2,B+,73%,Chamcook,NB,www.asf.ca,1-800-565-5666,Environment,,"Atlantic Salmon Federation Canada is a 4-star charity. It is financially transparent, has above average results reporting, and has acceptable overhead spending.  Founded in 1948, Atlantic Salmon Federation Canada (ASF Canada) works to protect salmon and their habitats. Currently, illegal fishing and habitat destruction kill thousands of salmon each year. ASF Canada shares a close relationship with Atlantic Salmon Federation US (ASF US). The two charities share a website and publish combined annual reports.  ASF Canada runs three main programs: Research, Conservation, and Education.  Research represented 43% of program costs in F2022. Through its research projects, ASF Canada monitors Atlantic salmon health and ocean conditions. It hopes to find the causes of declining salmon populations. In F2022, the charity tagged 209 fish in Greenland and 1,383 fish along Atlantic Canadian rivers.  Conservation projects represented 40% of F2022 program spending. Within this program, ASF Canada focuses on political advocacy and habitat restoration projects. In F2022, the charity ran a 300-person survey about public opinions on protected areas. This survey influenced the New Brunswick government to protect 377,900 more hectares of land. With restoration, ASF Canada hosted a workday to eradicate invasive smallmouth bass.  Education received the final 16% of program costs in F2022. ASF Canada runs the Wild Salmon Nature Centre that offers exhibits and tours of salmon habitats. The Centre was closed this year due to covid-19. ASF Canada also publishes reports and runs education programs to engage Canadians. In F2022, the charity published 14 news releases about its work.","ASF Canada is working with the University of New Brunswick and multiple charities to improve cold-water habitats. It has worked on 11 sites, including Morse Brook which finished in F2022. ASF Canada’s advocacy work led to a new law in Greenland to limit the amount of salmon fishermen can catch. With this law, 27 metric tons of salmon were harvested in F2022, the lowest amount in over a decade."
10,Aunt Leah's Place,https://www.charityintelligence.ca/media/charity_logos/AuntLeah_logo.jpg,5,2,A+,78%,New Westminster,BC,www.auntleahs.org,(604) 525-1204,Social Services,At-Risk Youth,"Aunt Leah's Place is a top-rated 5-star charity with good impact. This excellent charity has a high results reporting grade and low funding reserves, indicating a need for funding. A Charity Intelligence 2022 Top 10 Canadian Youth Impact Charity Founded in 1988, Aunt Leah’s Place works to help youth previously in foster care live independently and helps women avoid losing custody of their children. When youth turn 19 they ‘age out’ of the foster care system and can no longer access financial and social support from the government. 84% of youth aging out have experienced neglect and may not have learned basic life skills such as budgeting, cooking, cleaning, and doing laundry. Aunt Leah’s Place gives youth the skills and support they need to live independently. As well, by giving housing and guidance to young mothers, the charity reduces the number of children entering the foster care system. Aunt Leah’s runs four major programs: Housing, Education, Employment and Life Skills.  In F2022, the charity supported 620 people, a 53% increase over 404 people in F2021.        Housing accounts for 68% ($3.0m) of program spending in F2022. The charity runs six housing programs to provide housing to youth and families at risk. In F2022, 117 people were housed and 241 youth were helped to keep their housing. The Threshold program houses teen moms in foster care and adult moms at risk of losing custody of their children. In F2022, Aunt Leah's supported 14 young mothers and their 18 children. The Friendly Landlord Network program is a grouping of private landlords who provide housing subsidies to former foster kids pursuing an education. Currently, the program has 25 landlords with 25 houses and 43 apartments.       Education accounts for 13% ($587k) of program spending. The education programs aim to help Aunt Leah’s clients graduate High School or reach other education goals. In F2022, 140 youth enrolled or re-enrolled in the program.        Employment accounts for 13% ($584k) of program spending. Aunt Leah’s helps youth find sustainable employment and avoid homelessness. In F2022, 71 youth accessed resume building, job training, job search support, connection to employers and other services. Aunt Leah’s also runs a thrift store and a Christmas tree store. These businesses employ and train at-risk youth.        Life Skills programs accounted for the final 6% (258k) of program spending in F2022. The programs aim to equip youth with the skills needed to live independently. Community workshops, creative activities, and counselling are available every Wednesday and Sunday. A 12-week cooking program teaches young moms how to prepare inexpensive and nutritious meals. In F2022, the charity delivered 2,627 meals and counselling sessions to 200 people.        Aunt Leah’s aims to expand its programs to help more people, with a goal to help 750 youth by 2025.","Of people supported by Aunt Leah's Place, 81% maintained housing 12 months after finishing one of Aunt Leah's Programs. Aunt Leah’s also aims to help mothers keep their children by providing housing. In F2020, Aunt Leah’s homes housed 25 moms who were at risk of being separated from their kids. 92% of moms maintained custody and 98% secured safe housing upon leaving the program."
